Asia/Aden,+03:00
Asia/Almaty,+05:00
Asia/Amman,+03:00
Asia/Anadyr,+12:00
Asia/Aqtau,+05:00
Asia/Aqtobe,+05:00
Asia/Ashgabat,+05:00
Asia/Ashkhabad,+05:00
Asia/Atyrau,+05:00
Asia/Baghdad,+03:00
Asia/Bahrain,+03:00
Asia/Baku,+04:00
Asia/Bangkok,+07:00
Asia/Barnaul,+07:00
Asia/Beirut,+02:00
Asia/Bishkek,+06:00
Asia/Brunei,+08:00
Asia/Calcutta,+05:30
Asia/Chita,+09:00
Asia/Choibalsan,+08:00
Asia/Chongqing,+08:00
Asia/Chungking,+08:00
Asia/Colombo,+05:30
Asia/Dacca,+06:00
Asia/Damascus,+03:00
Asia/Dhaka,+06:00
Asia/Dili,+09:00
Asia/Dubai,+04:00
Asia/Dushanbe,+05:00
Asia/Famagusta,+02:00
Asia/Gaza,+02:00
Asia/Harbin,+08:00
Asia/Hebron,+02:00
Asia/Ho_Chi_Minh,+07:00
Asia/Hong_Kong,+08:00
Asia/Hovd,+07:00
Asia/Irkutsk,+08:00
Asia/Istanbul,+03:00
Asia/Jakarta,+07:00
Asia/Jayapura,+09:00
Asia/Jerusalem,+02:00
Asia/Kabul,+04:30
Asia/Kamchatka,+12:00
Asia/Karachi,+05:00
Asia/Kashgar,+06:00
Asia/Kathmandu,+05:45
Asia/Katmandu,+05:45
Asia/Khandyga,+09:00
Asia/Kolkata,+05:30
Asia/Krasnoyarsk,+07:00
Asia/Kuala_Lumpur,+08:00
Asia/Kuching,+08:00
Asia/Kuwait,+03:00
Asia/Macao,+08:00
Asia/Macau,+08:00
Asia/Magadan,+11:00
Asia/Makassar,+08:00
Asia/Manila,+08:00
Asia/Muscat,+04:00
Asia/Nicosia,+02:00
Asia/Novokuznetsk,+07:00
Asia/Novosibirsk,+07:00
Asia/Omsk,+06:00
Asia/Oral,+05:00
Asia/Phnom_Penh,+07:00
Asia/Pontianak,+07:00
Asia/Pyongyang,+09:00
Asia/Qatar,+03:00
Asia/Qostanay,+05:00
Asia/Qyzylorda,+05:00
Asia/Rangoon,+06:30
Asia/Riyadh,+03:00
Asia/Saigon,+07:00
Asia/Sakhalin,+11:00
Asia/Samarkand,+05:00
Asia/Seoul,+09:00
Asia/Shanghai,+08:00
Asia/Singapore,+08:00
Asia/Srednekolymsk,+11:00
Asia/Taipei,+08:00
Asia/Tashkent,+05:00
Asia/Tbilisi,+04:00
Asia/Tehran,+03:30
Asia/Tel_Aviv,+02:00
Asia/Thimbu,+06:00
Asia/Thimphu,+06:00
Asia/Tokyo,+09:00
Asia/Tomsk,+07:00
Asia/Ujung_Pandang,+08:00
Asia/Ulaanbaatar,+08:00
Asia/Ulan_Bator,+08:00
Asia/Urumqi,+06:00
Asia/Ust-Nera,+10:00
Asia/Vientiane,+07:00
Asia/Vladivostok,+10:00
Asia/Yakutsk,+09:00
Asia/Yangon,+06:30
Asia/Yekaterinburg,+05:00
Asia/Yerevan,+04:00
